Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 15, 15, 500, 16
0, 1, 500, 500, 15, 15, 1000, 16
0, 2, 0, 0, 71, 71, 500, 17
0, 3, 500, 500, 71, 71, 1000, 17
1, 4, 0, 0, 55, 55, 500, 9
1, 5, 500, 500, 55, 55, 1000, 9
1, 6, 0, 0, 40, 40, 500, 15
1, 7, 500, 500, 40, 40, 1000, 15
1, 8, 0, 0, 56, 56, 500, 7
1, 9, 500, 500, 56, 56, 1000, 7
2, 10, 0, 0, 10, 10, 1000, 14
2, 11, 0, 0, 86, 86, 1000, 32
2, 12, 0, 0, 63, 63, 1000, 11
2, 13, 0, 0, 10, 10, 1000, 3
3, 14, 0, 0, 75, 75, 1000, 25
3, 15, 0, 0, 52, 52, 1000, 27
4, 16, 0, 0, 42, 42, 1000, 5
4, 17, 0, 0, 97, 97, 1000, 0
4, 18, 0, 0, 29, 29, 1000, 22
5, 19, 0, 0, 57, 57, 500, 6
5, 20, 500, 500, 57, 57, 1000, 6
5, 21, 0, 0, 85, 85, 500, 19
5, 22, 500, 500, 85, 85, 1000, 19
6, 23, 0, 0, 41, 41, 1000, 21
6, 24, 0, 0, 56, 56, 1000, 26
6, 25, 0, 0, 27, 27, 1000, 2
6, 26, 0, 0, 26, 26, 1000, 12
6, 27, 0, 0, 31, 31, 1000, 24
7, 28, 0, 0, 16, 16, 1000, 1
7, 29, 0, 0, 1, 1, 1000, 13
7, 30, 0, 0, 95, 95, 1000, 29
8, 31, 0, 0, 92, 92, 1000, 28
8, 32, 0, 0, 9, 9, 1000, 30
8, 33, 0, 0, 19, 19, 1000, 31
8, 34, 0, 0, 14, 14, 1000, 20
8, 35, 0, 0, 65, 65, 1000, 18
9, 36, 0, 0, 72, 72, 1000, 8
9, 37, 0, 0, 33, 33, 1000, 23
9, 38, 0, 0, 30, 30, 1000, 4
9, 39, 0, 0, 93, 93, 1000, 10
